Year,data.category,Value
2000,data.Municipal_waste,39384.2
2001,data.Municipal_waste,40768.2
2002,data.Municipal_waste,42782.9
2003,data.Municipal_waste,42918.1
2004,data.Municipal_waste,41578.0
2005,data.Municipal_waste,40566.5
2006,data.Municipal_waste,40899.6
2007,data.Municipal_waste,42570.8
2008,data.Municipal_waste,42268.9
2009,data.Municipal_waste,42085.8
2010,data.Municipal_waste,40920.4
2011,data.Municipal_waste,40941.7
2012,data.Municipal_waste,41644.2
2013,data.Municipal_waste,40542.7
2014,data.Municipal_waste,42355.2
2015,data.Municipal_waste,43411.2
2016,data.Municipal_waste,45460.3
2017,data.Municipal_waste,45008.9
2018,data.Municipal_waste,46749.3
2000,data.Industrial_municipal_waste,7053.5
2001,data.Industrial_municipal_waste,7730.4
2002,data.Industrial_municipal_waste,7118.7
2003,data.Industrial_municipal_waste,7818.7
2004,data.Industrial_municipal_waste,8429.3
2005,data.Industrial_municipal_waste,7831.8
2006,data.Industrial_municipal_waste,7941.6
2007,data.Industrial_municipal_waste,7775.5
2008,data.Industrial_municipal_waste,9803.4
2009,data.Industrial_municipal_waste,8820.4
2010,data.Industrial_municipal_waste,8238.6
2011,data.Industrial_municipal_waste,7992.7
2012,data.Industrial_municipal_waste,7345.6
2013,data.Industrial_municipal_waste,8185.5
2014,data.Industrial_municipal_waste,7559.6
2015,data.Industrial_municipal_waste,7835.6
2016,data.Industrial_municipal_waste,8311.6
2017,data.Industrial_municipal_waste,8480.6
2018,data.Industrial_municipal_waste,9286.1
2005,data.Construction_waste,129572.5
2006,data.Construction_waste,168984.9
2007,data.Construction_waste,172005.0
2008,data.Construction_waste,176447.3
2009,data.Construction_waste,183350.8
2010,data.Construction_waste,178120.4
2011,data.Construction_waste,186417.2
2012,data.Construction_waste,186628.5
2013,data.Construction_waste,183537.7
2014,data.Construction_waste,185382.4
2015,data.Construction_waste,198259.8
2016,data.Construction_waste,199444.0
2017,data.Construction_waste,196261.6
2018,data.Construction_waste,206950.9
2006,data.Industrial_emission_facilities_waste,101099.3
2007,data.Industrial_emission_facilities_waste,114807.0
2008,data.Industrial_emission_facilities_waste,130777.3
2009,data.Industrial_emission_facilities_waste,123604.1
2010,data.Industrial_emission_facilities_waste,137875.0
2011,data.Industrial_emission_facilities_waste,137960.5
2012,data.Industrial_emission_facilities_waste,146390.4
2013,data.Industrial_emission_facilities_waste,148443.1
2014,data.Industrial_emission_facilities_waste,153188.5
2015,data.Industrial_emission_facilities_waste,155305.5
2016,data.Industrial_emission_facilities_waste,162128.9
2017,data.Industrial_emission_facilities_waste,164874.7
2018,data.Industrial_emission_facilities_waste,167726.9
2019,data.Municipal_waste,45912.1
2019,data.Industrial_municipal_waste,12049.3
2019,data.Construction_waste,221101.9
2019,data.Industrial_emission_facilities_waste,202619.0
