Year,Value
2007,13.03803
2008,29.22256
2009,56.66919
2010,4.00977
2011,14.36447
2012,6.42387
2013,60.20996
2014,23.47669
2015,36.40679
2016,27.28175
2017,26.86066
2018,14.51268
