Value,Disaggregation combinations using this value,Number of indicators
19~29세,1,1
20대 이하,3,1
20대,3,1
30~39세,1,1
30대,3,1
40~49세,1,1
40대,3,1
50~59세,1,1
50대,3,1
60~69세,1,1
60대,3,1
70대,3,1
80대 이상,3,1
