Value,Disaggregation combinations using this value,Number of indicators
국제금융공사,4,2
국제부흥개발은행,4,2
국제통화기금,4,2
금융안정위원회,4,2
미주개발은행,4,2
세계무역기구,4,2
아시아개발은행,4,2
아프리카개발은행,4,2
유엔경제사회이사회,4,2
유엔총회,4,2
