Value,Disaggregation combinations using this value,Number of indicators
ADB,4,2
AFDB,4,2
ECOSOC,4,2
FSB,4,2
IABD,4,2
IBRD,4,2
IFC,4,2
IMF,4,2
UNGA,4,2
WTO,4,2
