Value,Disaggregation combinations using this value,Number of indicators
RAW,3,1
건설 비금속광물,3,1
금속광석,3,1
나무,3,1
바이오매스,3,1
비금속광물,3,1
비금속광석,3,1
사료작물,3,1
산업/농업 비금속광물,3,1
석유,3,1
석탄,3,1
자연수확,3,1
작물,3,1
작물잔해,3,1
천연가스,3,1
철광석,3,1
화석연료,3,1
