Value,Disaggregation combinations using this value,Number of indicators
data.Illegal_filming,3,1
data.Obscene_phone_calls,3,1
data.Sexual_exposure,3,1
data.Sexual_harassment,3,1
data.Sexual_violence_involving_physical_contact,3,1
