Value,Disaggregation combinations using this value,Number of indicators
범주01_0.5ha 미만,2,2
범주02_0.5~1.0ha,2,2
범주03_1.0~1.5ha,2,2
범주04_1.5~2.0ha,2,2
범주05_2.0~3.0ha,2,2
범주06_3.0~5.0ha,2,2
범주07_5.0~7.0ha,2,2
범주08_7.0~10.0ha,2,2
범주09_10.0ha 이상,2,2
