Indicator
#1-4-2
#2-1-1
#3-2-1
#3-2-2
#3-3-1
#3-4-1
#3-4-2
#3-9-3
#3-a-1
#4-1-1
#4-2-1
#4-2-2
#4-3-1
#4-6-1
#5-2-1
#5-2-2
#5-4-1
#5-b-1
