Value,Disaggregation combinations using this value,Number of indicators
data.1_(Not_at_all),10,1
data.2_(Not_that_much),10,1
data.3_(Normal),10,1
data.4_(A_little_bit),10,1
data.5_(Very_satisfactory),10,1
