Value,Disaggregation combinations using this value,Number of indicators
data.Gender_parity_index,2,1
data.Language_test_parity_index,2,1
data.Low_to_high_socio-economic_parity_status_index,2,1
data.Native_parity_index,2,1
data.Rural_to_urban_parity_index,2,1
