Value,Disaggregation combinations using this value,Number of indicators
ARSP,3,1
CMFL,3,1
COPA,3,1
EMAIL,3,1
EPRS,3,1
INST,3,1
PCPR,3,1
SOFT,3,1
TRAF,3,1
