Value,Disaggregation combinations using this value,Number of indicators
data.Computer,3,1
data.Drinking_water,3,1
data.Electricity,3,1
data.Hand-washing_facilities,3,1
data.Internet,3,1
data.Single-sex_basic_sanitation_facilities,3,1
