Value,Disaggregation combinations using this value,Number of indicators
0.5~1.0_ha,2,2
0~0.5_ha,2,2
10.0_ha~,2,2
1.0~1.5_ha,2,2
1.5~2.0_ha,2,2
2.0~3.0_ha,2,2
3.0~5.0_ha,2,2
5.0~7.0_ha,2,2
7.0~10.0_ha,2,2
