Value,Disaggregation combinations using this value,Number of indicators
고등학교,8,1
공공의료시설,8,1
공항,8,1
대규모점포,8,1
버스터미널,8,1
병·의원,8,1
전통시장,8,1
종합병원,8,1
중학교,8,1
철도역,8,1
초등학교,8,1
