Year,Sex,Value
2006,,11172
2006,Male,13064
2006,Female,7915
2007,,12149
2007,Male,14232
2007,Female,8664
2008,,12920
2008,Male,15152
2008,Female,9217
2009,,12382
2009,Male,14503
2009,Female,8856
2010,,12878
2010,Male,15095
2010,Female,9300
2011,,13769
2011,Male,16050
2011,Female,10082
2012,,14967
2012,Male,17317
2012,Female,11228
2013,,16067
2013,Male,18658
2013,Female,12035
2014,,16701
2014,Male,19505
2014,Female,12500
2015,,15978
2015,Male,18681
2015,Female,11915
2016,,16709
2016,Male,19476
2016,Female,12573
2017,,17381
2017,Male,20183
2017,Female,13292
2018,,19522
2018,Male,22515
2018,Female,15265
2019,,20573
2019,Male,23566
2019,Female,16358
