Year,Category,Value
2004,National parliaments,13.0
2008,National parliaments,13.7
2012,National parliaments,15.7
2016,National parliaments,17.0
2020,National parliaments,19.0
2006,Local council,14.5
2010,Local council,20.3
2014,Local council,22.9
2018,Local council,28.3
2022,Local council,30.3
