Year,Value
2007,12.9396
2008,29.002
2009,56.2415
2010,3.9795
2011,14.2561
2012,6.3754
2013,59.7556
2014,23.2995
2015,36.132
2016,27.0759
2017,26.658
2018,14.4015
2019,13.0859
2020,41.4887
2021,235.2361
