Year,Value,Units
2000,2514225,Production
2001,2665124,Production
2002,2476188,Production
2003,2487042,Production
2004,2519101,Production
2005,2714050,Production
2006,3032116,Production
2007,3274823,Production
2008,3361255,Production
2009,3182342,Production
2010,3110634,Production
2011,3255929,Production
2012,3183424,Production
2013,3135250,Production
2014,3304228,Production
2015,3337383,Production
2016,3269432,Production
2017,3724711,Production
2018,3770057,Production
2019,3860969,Production
2020 p),3712518,Production
2000,4066447411,Production amount of money
2001,4252897861,Production amount of money
2002,4205241656,Production amount of money
2003,4770818670,Production amount of money
2004,4731322329,Production amount of money
2005,5049321385,Production amount of money
2006,5285860057,Production amount of money
2007,5751945576,Production amount of money
2008,6345058101,Production amount of money
2009,6924248502,Production amount of money
2010,7425685572,Production amount of money
2011,8072860450,Production amount of money
2012,7689050760,Production amount of money
2013,7226886951,Production amount of money
2014,7351991851,Production amount of money
2015,7257464629,Production amount of money
2016,7476747061,Production amount of money
2017,8566870876,Production amount of money
2018,8608418348,Production amount of money
2019,8366328166,Production amount of money
2020 p),8758203427,Production amount of money
