Year,Value,Units
2000,3.68,National parliaments
2001,5.86,National parliaments
2002,5.86,National parliaments
2003,5.86,National parliaments
2004,5.54,National parliaments
2005,13.04,National parliaments
2006,13.38,National parliaments
2007,13.38,National parliaments
2008,14.38,National parliaments
2009,13.71,National parliaments
2010,14.72,National parliaments
2011,14.72,National parliaments
2012,14.72,National parliaments
2013,15.67,National parliaments
2014,15.67,National parliaments
2015,16.33,National parliaments
2016,16.33,National parliaments
2017,17.0,National parliaments
2018,17.0,National parliaments
2019,17.11,National parliaments
2020,17.29,National parliaments
2018,28.3,Local assembly
