Year,Value
2003,16727
2004,19051
2005,16676
2006,17828
2007,15458
2008,16348
2009,17008
2010,18091
2011,16974
2012,17067
2013,16916
2014,18210
2015,21947
2016,19772
2017,22272
2018,30540
2019,23546
