Year,Value,Units
2004,11946076,Wastewater generation
2004,49053,Excretions
2005,16832611,Wastewater generation
2005,47627,Excretions
2006,16919995,Wastewater generation
2006,47094,Excretions
2007,16744875,Wastewater generation
2007,44766,Excretions
2008,17113106,Wastewater generation
2008,46420,Excretions
2009,16681388,Wastewater generation
2009,48749,Excretions
2010,16111195,Wastewater generation
2010,46189,Excretions
2011,18660763,Wastewater generation
2011,42358,Excretions
2012,15722166,Wastewater generation
2012,41747,Excretions
2013,15148299,Wastewater generation
2013,62011,Excretions
2014,16256451,Wastewater generation
2014,36447,Excretions
2015,14975476,Wastewater generation
2015,37893,Excretions
2016,14392658,Wastewater generation
2016,41343,Excretions
