Year,Value
2000,34.485
2001,35.94
2002,35.154
2003,34.96
2004,35.158
2005,36.772
2006,39.865
2007,41.061
2008,49.185
2009,53.665
2010,57.741
2011,67.556
2012,74.288
2013,86.424
2014,113.052
2015,141.519
2016,182.298
2017,222.128
2018,269.956
2019,348.497
2020,393.702
2021,470.098
