Year,Value,Units
2000,20.79397,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2001,20.79397,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2002,20.79604,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2003,20.83283,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2004,20.83283,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2005,20.8329,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2006,25.80287,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2007,25.80375,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2008,31.9935,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2009,32.64781,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2010,32.64781,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2011,32.81544,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2012,36.81544,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2013,36.82553,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2014,36.82553,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2015,36.8271,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2016,36.8271,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2017,37.02608,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2018,38.55053,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2019,38.68079,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2020,38.68079,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
