Year,Value,Units
2010,1,Countries’ commitments to global conventions/ international agreements
2016,1,Countries’ commitments to global conventions/ international agreements
2016,1,National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9
2020,1,Countries’ commitments to global conventions/ international agreements
2020,1,National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9
