Year,Value,Units
Countries_with_policies,1.0,_instruments_and_mechanism_in_place_for_sustainable_consumption_and_production
Countries with policy instrument for sustainable consumption and production,,1
Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies,,1
