Year,Value
2001,7
2002,10
2003,16
2004,17
2005,34
2006,35
2007,97
2008,51
2009,59
2010,125
2011,79
2012,154
2013,259
2014,171
2015,257
2016,317
2017,174
2018,165
2019,277
2020,45
