Year,data.category,Value
2011,data.Market_income,0.418
2011,data.Disposable_income,0.388
2012,data.Market_income,0.411
2012,data.Disposable_income,0.385
2013,data.Market_income,0.401
2013,data.Disposable_income,0.372
2014,data.Market_income,0.397
2014,data.Disposable_income,0.363
2015,data.Market_income,0.396
2015,data.Disposable_income,0.352
2016,data.Market_income,0.402
2016,data.Disposable_income,0.355
2017,data.Market_income,0.406
2017,data.Disposable_income,0.354
2018,data.Market_income,0.402
2018,data.Disposable_income,0.345
2019,data.Market_income,0.404
2019,data.Disposable_income,0.339
2020,data.Market_income,0.405
2020,data.Disposable_income,0.331
