Year,Payment,Recruitment cost,Value
2018,Paid,,12.7
2018,Paid,below 150 mKRW,56.5
2018,Paid,150-300 mKRW,30.6
2018,Paid,above 300 mKRW,12.9
2018,No paid,,87.3
