Year,구분,Value
2000,담수,29.7046
2001,담수,29.7046
2002,담수,29.7046
2003,담수,29.7046
2004,담수,29.71949
2005,담수,29.71949
2006,담수,29.72495
2007,담수,29.72495
2008,담수,36.77976
2009,담수,36.77976
2010,담수,36.77976
2011,담수,36.77976
2012,담수,36.77976
2013,담수,36.78704
2014,담수,36.78704
2015,담수,36.78704
2016,담수,36.78704
2017,담수,36.78704
2018,담수,36.7956
2019,담수,36.82723
2020,담수,36.82723
2021,담수,36.82723
2000,육상,23.85359
2001,육상,23.85359
2002,육상,23.85488
2003,육상,23.92241
2004,육상,23.92762
2005,육상,23.92766
2006,육상,27.0358
2007,육상,27.03648
2008,육상,33.37413
2009,육상,33.78307
2010,육상,33.78307
2011,육상,33.88784
2012,육상,33.88784
2013,육상,36.3967
2014,육상,36.3967
2015,육상,36.39768
2016,육상,36.39768
2017,육상,36.52204
2018,육상,37.47782
2019,육상,37.5703
2020,육상,37.5703
2021,육상,37.5703
