Year,data.Sex,Value
2019,,0.4
2019,data.Female,0.8
2019,data.Male,0.0
2016,,0.8
2016,data.Female,1.5
2016,data.Male,0.1
2013,,1.5
2013,data.Female,2.7
2013,data.Male,0.3
2010,,2.9
2010,data.Female,4.7
2010,data.Male,0.9
