Year,Category,Value
2016,ECOLI,35.33
2017,ECOLI,32.39
2018,ECOLI,38.63
2019,ECOLI,37.08
2020,ECOLI,37.66
2016,MRSA,53.3
2017,MRSA,53.3
2018,MRSA,47.1
2019,MRSA,48.61
2020,MRSA,47.55
