Year,Value
1980,67.01289
1981,66.91545
1982,66.7699
1983,66.64291999999999
1984,66.53575
1985,66.40637
1986,66.30823000000001
1987,65.98037
1988,65.77894
1989,65.70016
1990,65.59303
1991,65.34984
1992,65.28633
1993,65.13147
1994,65.07933
1995,64.98399
1996,64.92604
1997,64.8164
1998,64.74328
1999,64.66601
2000,64.56801999999999
2001,64.4578
2002,64.38721
2003,64.31662
2004,64.24606
2005,64.16715
2006,64.09639
2007,63.9992
2008,63.859840000000005
2009,63.76568
2010,63.66893
2015,63.163419999999995
