Year,Value
2003,131855
2004,137793
2005,144083
2006,150735
2007,156386
2008,165592
2009,172489
2010,179101
2011,185934
2012,190273
2013,197912
2014,204340
2015,210707
2016,218296
2017,228411
2018,235556
2019,245771
2020,252694
