Year,Value
2001,5.34
2002,3.74
2003,2.42
2004,1.78
2005,2.81
2006,4.2
2007,4.53
2008,2.13
2009,2.71
2010,3.53
2011,1.63
2012,1.07
2013,0.87
2014,1.25
2015,1.36
2016,1.3
2017,1.0
2018,1.11
2019,1.08
2020,0.74
