Year,Category,Value
2020,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),1
2019,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),1
2020,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),1
