Year,Category,Value
2005,,15
2005,First publication,9
2005,Accumulated publication,6
2006,,25
2006,First publication,13
2006,Accumulated publication,12
2007,,40
2007,First publication,23
2007,Accumulated publication,17
2008,,62
2008,First publication,24
2008,Accumulated publication,38
2009,,75
2009,First publication,29
2009,Accumulated publication,46
2010,,90
2010,First publication,34
2010,Accumulated publication,56
2011,,103
2011,First publication,27
2011,Accumulated publication,76
2012,,112
2012,First publication,27
2012,Accumulated publication,85
2013,,130
2013,First publication,21
2013,Accumulated publication,109
2014,,127
2014,First publication,16
2014,Accumulated publication,111
2015,,132
2015,First publication,17
2015,Accumulated publication,115
2016,,122
2016,First publication,14
2016,Accumulated publication,108
2017,,133
2017,First publication,18
2017,Accumulated publication,115
2018,,133
2018,First publication,16
2018,Accumulated publication,117
2019,,135
2019,First publication,13
2019,Accumulated publication,122
2020,,138
2020,First publication,18
2020,Accumulated publication,120
2021,,48
2021,First publication,9
2021,Accumulated publication,39
