Year,Value,Units,Observation status,Unit multiplier,Unit measure
1950,0.0,Marine protected area extent,Undefined,Million,Hectares
1951,0.01,Marine protected area extent,Undefined,Million,Hectares
1952,0.03,Marine protected area extent,Undefined,Million,Hectares
1953,0.03,Marine protected area extent,Undefined,Million,Hectares
1954,0.05,Marine protected area extent,Undefined,Million,Hectares
1955,0.06,Marine protected area extent,Undefined,Million,Hectares
1956,0.09,Marine protected area extent,Undefined,Million,Hectares
1957,0.09,Marine protected area extent,Undefined,Million,Hectares
1958,0.1,Marine protected area extent,Undefined,Million,Hectares
1959,0.1,Marine protected area extent,Undefined,Million,Hectares
1960,0.11,Marine protected area extent,Undefined,Million,Hectares
1961,0.11,Marine protected area extent,Undefined,Million,Hectares
1962,0.11,Marine protected area extent,Undefined,Million,Hectares
1963,0.11,Marine protected area extent,Undefined,Million,Hectares
1964,0.12,Marine protected area extent,Undefined,Million,Hectares
1965,0.13,Marine protected area extent,Undefined,Million,Hectares
1966,0.14,Marine protected area extent,Undefined,Million,Hectares
1967,0.14,Marine protected area extent,Undefined,Million,Hectares
1968,0.15,Marine protected area extent,Undefined,Million,Hectares
1969,0.15,Marine protected area extent,Undefined,Million,Hectares
1970,0.15,Marine protected area extent,Undefined,Million,Hectares
1971,0.16,Marine protected area extent,Undefined,Million,Hectares
1972,0.23,Marine protected area extent,Undefined,Million,Hectares
1973,0.23,Marine protected area extent,Undefined,Million,Hectares
1974,0.24,Marine protected area extent,Undefined,Million,Hectares
1975,0.25,Marine protected area extent,Undefined,Million,Hectares
1976,0.28,Marine protected area extent,Undefined,Million,Hectares
1977,0.28,Marine protected area extent,Undefined,Million,Hectares
1978,0.28,Marine protected area extent,Undefined,Million,Hectares
1979,0.28,Marine protected area extent,Undefined,Million,Hectares
1980,0.66,Marine protected area extent,Undefined,Million,Hectares
1981,0.66,Marine protected area extent,Undefined,Million,Hectares
1982,0.66,Marine protected area extent,Undefined,Million,Hectares
1983,0.66,Marine protected area extent,Undefined,Million,Hectares
1984,0.66,Marine protected area extent,Undefined,Million,Hectares
1985,0.67,Marine protected area extent,Undefined,Million,Hectares
1986,0.7,Marine protected area extent,Undefined,Million,Hectares
1987,0.7,Marine protected area extent,Undefined,Million,Hectares
1988,0.7,Marine protected area extent,Undefined,Million,Hectares
1989,0.71,Marine protected area extent,Undefined,Million,Hectares
1990,0.73,Marine protected area extent,Undefined,Million,Hectares
1991,0.73,Marine protected area extent,Undefined,Million,Hectares
1992,0.73,Marine protected area extent,Undefined,Million,Hectares
1993,0.73,Marine protected area extent,Undefined,Million,Hectares
1994,0.77,Marine protected area extent,Undefined,Million,Hectares
1995,0.77,Marine protected area extent,Undefined,Million,Hectares
1996,1.35,Marine protected area extent,Undefined,Million,Hectares
1997,1.49,Marine protected area extent,Undefined,Million,Hectares
