Year,Value,Units
2004,11946076,하수발생량
2004,49053,분뇨
2005,16832611,하수발생량
2005,47627,분뇨
2006,16919995,하수발생량
2006,47094,분뇨
2007,16744875,하수발생량
2007,44766,분뇨
2008,17113106,하수발생량
2008,46420,분뇨
2009,16681388,하수발생량
2009,48749,분뇨
2010,16111195,하수발생량
2010,46189,분뇨
2011,18660763,하수발생량
2011,42358,분뇨
2012,15722166,하수발생량
2012,41747,분뇨
2013,15148299,하수발생량
2013,62011,분뇨
2014,16256451,하수발생량
2014,36447,분뇨
2015,14975476,하수발생량
2015,37893,분뇨
2016,14392658,하수발생량
2016,41343,분뇨
2007,2564967,폐수발생량
2008,2332102,폐수발생량
2009,2425750,폐수발생량
2010,2956447,폐수발생량
2011,2890343,폐수발생량
2012,3368232,폐수발생량
2013,3085935,폐수발생량
2014,2936815,폐수발생량
2015,1907340,폐수발생량
2016,2499775,폐수발생량
2017,2768019,폐수발생량
2018,2524743,폐수발생량
