Year,Value
2001,18.5
2005,11.6
2007,17.0
2008,13.7
2009,14.2
2010,10.0
2011,10.6
2012,11.9
2013,8.4
2014,8.4
2015,9.0
2016,12.6
2017,13.5
2018,13.1
2019,16.9
2020,17.4
2021,16.6
