Year,Value
2000,85.84501
2001,77.1697
2002,80.47847
2003,73.91945
2004,67.52928
2005,70.55436
2006,70.53844
2007,96.43731
2008,75.47574
2009,63.986
2010,72.32544
2011,73.87391
2012,55.83159
2013,56.16084
2014,55.87886
2015,56.53621
2016,61.06501
2017,61.88626
