Year,Value,Units
2000,20.79397,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2001,20.79397,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2002,20.79604,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2003,20.83283,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2004,20.83283,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2005,20.8329,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2006,25.80287,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2007,25.80375,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2008,31.9935,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2009,32.64781,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2010,32.64781,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2011,32.81544,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2012,36.81544,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2013,36.82553,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2014,36.82553,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2015,36.8271,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2016,36.8271,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2017,37.02608,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2018,38.55053,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2019,38.68079,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
2020,38.68079,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율
