Year,Value
2000,219
2001,327
2002,397
2003,533
2004,610
2005,680
2006,749
2007,740
2008,797
2009,768
2010,773
2011,888
2012,868
2013,1013
2014,1081
2015,1018
2016,1060
2017,1008
2018,989
2019,1006
2020,818
