Year,Units,Value
Countries_with_policies,_instruments_and_mechanism_in_place_for_sustainable_consumption_and_production,1.0
Countries with policy instrument for sustainable consumption and production,1,
Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies,1,
