Year,Sex,Value
2000,,1.26931794008182
2000,Male,1.3173266163124
2000,Female,1.21641646801108
2001,,1.28671898502697
2001,Male,1.35551775462471
2001,Female,1.21132970574286
2002,,1.21264955638149
2002,Male,1.29127397026453
2002,Female,1.12658643269045
2003,,1.17580698255466
2003,Male,1.28268515915828
2003,Female,1.05882577543201
2004,,1.10262915879338
2004,Male,1.163723831265
2004,Female,1.0359449712216
2005,,0.965958553859301
2005,Male,1.01863000711069
2005,Female,0.908695856528304
2006,,0.951509668273726
2006,Male,1.01483260530712
2006,Female,0.882944083133662
2007,,0.956326531757704
2007,Male,1.01814088972027
2007,Female,0.889729587679398
2008,,0.883663813467471
2008,Male,0.931099869066705
2008,Female,0.832848029968139
2009,,0.799388072822497
2009,Male,0.815855674365542
2009,Female,0.781811487180698
2010,,0.83026477292653
2010,Male,0.935882287938934
2010,Female,0.717796464422459
2011,,0.788429111188821
2011,Male,0.865097631847676
2011,Female,0.706970209184729
2012,,0.766666939144629
2012,Male,0.838432824436095
2012,Female,0.690561513384616
2013,,0.712761613697487
2013,Male,0.748813782212139
2013,Female,0.674577431152111
2014,,0.693875072450961
2014,Male,0.735296920605298
2014,Female,0.650090260465916
2015,,0.647814262834957
2015,Male,0.703262222385529
2015,Female,0.589341037420452
2016,,0.640738388350553
2016,Male,0.698916896948586
2016,Female,0.579503840016531
2017,,0.588940940806298
2017,Male,0.644942371939541
2017,Female,0.530018910077931
2018,,0.568067265876456
2018,Male,0.620778465820611
2018,Female,0.512586479974432
2019,,0.552592536334269
2019,Male,0.599462220093524
2019,Female,0.503241228360224
