Year,Value
2000,21.8
2001,17.1
2002,15.2
2003,15.1
2004,13.6
2005,13.2
2006,13.0
2007,12.7
2008,12.1
2009,12.0
2010,11.3
2011,10.7
2012,10.8
2013,10.1
2014,9.4
2015,9.1
2016,8.5
2017,8.1
2018,7.3
2019,6.5
