Year,Units,Value
2000,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),20.79397
2001,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),20.79397
2002,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),20.79604
2003,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),20.83283
2004,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),20.83283
2005,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),20.8329
2006,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),25.80287
2007,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),25.80375
2008,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),31.9935
2009,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),32.64781
2010,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),32.64781
2011,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),32.81544
2012,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),36.81544
2013,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),36.82553
2014,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),36.82553
2015,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),36.8271
2016,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),36.8271
2017,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),37.02608
2018,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),38.55053
2019,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),38.68079
2020,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),38.68079
