Year,Units,Value
2010,Countries’ commitments to global conventions/ international agreements,1
2016,Countries’ commitments to global conventions/ international agreements,1
2016,National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9,1
