Year,Category,Value
2006,01 Average,332.8
2006,02 Special city,291.0
2006,03 Metropolitan city,382.4
2006,04 Small-Medium sized cities,326.5
2006,05 Provinces,321.9
2011,01 Average,311.3
2011,02 Special city,396.6
2011,03 Metropolitan city,342.1
2011,04 Small-Medium sized cities,255.9
2011,05 Provinces,320.2
2016,01 Average,367.95
2016,02 Special city,389.95
2016,03 Metropolitan city,534.99
2016,04 Small-Medium sized cities,349.14
2016,05 Provinces,185.32
2021,01 Average,310.92
2021,02 Special city,336.33
2021,03 Metropolitan city,343.14
2021,04 Small-Medium sized cities,285.94
2021,05 Provinces,352.41
