Year,Category,Value
2000,Industries,64.55
2001,Industries,60.89
2002,Industries,61.37
2003,Industries,63.91
2004,Industries,71.24
2005,Industries,73.13
2006,Industries,75.5
2007,Industries,79.96
2008,Industries,81.73
2009,Industries,82.53
2010,Industries,91.18
2011,Industries,96.23
2012,Industries,97.33
2013,Industries,100.87
2014,Industries,101.9
2015,Industries,104.19
2016,Industries,107.67
2017,Industries,113.99
2018,Industries,115.89
2019,Industries,113.27
2020,Industries,110.76
2000,Agriculture(ISIC4 A01 A0210 A0322),1.29
2001,Agriculture(ISIC4 A01 A0210 A0322),1.29
2002,Agriculture(ISIC4 A01 A0210 A0322),1.29
2003,Agriculture(ISIC4 A01 A0210 A0322),1.29
2004,Agriculture(ISIC4 A01 A0210 A0322),1.39
2005,Agriculture(ISIC4 A01 A0210 A0322),1.33
2006,Agriculture(ISIC4 A01 A0210 A0322),1.37
2007,Agriculture(ISIC4 A01 A0210 A0322),1.2
2008,Agriculture(ISIC4 A01 A0210 A0322),1.03
2009,Agriculture(ISIC4 A01 A0210 A0322),0.94
2010,Agriculture(ISIC4 A01 A0210 A0322),0.96
2011,Agriculture(ISIC4 A01 A0210 A0322),1.02
2012,Agriculture(ISIC4 A01 A0210 A0322),1.04
2013,Agriculture(ISIC4 A01 A0210 A0322),1.03
2014,Agriculture(ISIC4 A01 A0210 A0322),1.04
2015,Agriculture(ISIC4 A01 A0210 A0322),1.04
2016,Agriculture(ISIC4 A01 A0210 A0322),0.99
2017,Agriculture(ISIC4 A01 A0210 A0322),1.02
2018,Agriculture(ISIC4 A01 A0210 A0322),0.99
2019,Agriculture(ISIC4 A01 A0210 A0322),0.97
2020,Agriculture(ISIC4 A01 A0210 A0322),1.05
2000,Services(ISIC4 G to T),74.13
2001,Services(ISIC4 G to T),64.5
2002,Services(ISIC4 G to T),58.82
2003,Services(ISIC4 G to T),65.23
2004,Services(ISIC4 G to T),72.51
2005,Services(ISIC4 G to T),82.83
2006,Services(ISIC4 G to T),87.9
2007,Services(ISIC4 G to T),92.91
2008,Services(ISIC4 G to T),95.82
2009,Services(ISIC4 G to T),96.26
2010,Services(ISIC4 G to T),100.15
2011,Services(ISIC4 G to T),102.71
2012,Services(ISIC4 G to T),105.52
2013,Services(ISIC4 G to T),108.81
2014,Services(ISIC4 G to T),113.14
2015,Services(ISIC4 G to T),129.97
2016,Services(ISIC4 G to T),130.96
2017,Services(ISIC4 G to T),133.05
2018,Services(ISIC4 G to T),138.16
2019,Services(ISIC4 G to T),145.19
2020,Services(ISIC4 G to T),144.46
2000,Total(no breakdown),27.56
2001,Total(no breakdown),27.07
2002,Total(no breakdown),27.45
2003,Total(no breakdown),29.16
2004,Total(no breakdown),31.62
2005,Total(no breakdown),31.51
2006,Total(no breakdown),35.44
2007,Total(no breakdown),37.42
2008,Total(no breakdown),38.44
2009,Total(no breakdown),38.72
2010,Total(no breakdown),41.22
2011,Total(no breakdown),42.83
2012,Total(no breakdown),43.84
2013,Total(no breakdown),45.36
2014,Total(no breakdown),46.77
2015,Total(no breakdown),49.39
2016,Total(no breakdown),50.54
2017,Total(no breakdown),52.11
2018,Total(no breakdown),53.66
2019,Total(no breakdown),54.95
2020,Total(no breakdown),54.41
