Year,Sex,Value
2000,,244
2000,Male,211
2000,Female,33
2001,,384
2001,Male,336
2001,Female,48
2002,,457
2002,Male,402
2002,Female,55
2003,,592
2003,Male,543
2003,Female,49
2004,,763
2004,Male,672
2004,Female,91
2005,,734
2005,Male,673
2005,Female,61
2006,,796
2006,Male,717
2006,Female,79
2007,,828
2007,Male,759
2007,Female,69
2008,,900
2008,Male,814
2008,Female,86
2009,,839
2009,Male,759
2009,Female,80
2010,,837
2010,Male,762
2010,Female,75
2011,,959
2011,Male,877
2011,Female,82
2012,,953
2012,Male,864
2012,Female,89
2013,,1114
2013,Male,1016
2013,Female,98
2014,,1191
2014,Male,1100
2014,Female,91
2015,,1152
2015,Male,1080
2015,Female,72
2016,,1197
2016,Male,1103
2016,Female,94
2017,,1190
2017,Male,1088
2017,Female,102
2018,,1206
2018,Male,1100
2018,Female,106
2019,,1223
2019,Male,1112
2019,Female,111
2020,,1016
2020,Male,935
2020,Female,81
