Year,Sex,Value
2000,,13.7
2000,Male,19.0
2000,Female,8.4
2001,,14.6
2001,Male,20.3
2001,Female,8.7
2002,,18.0
2002,Male,24.7
2002,Female,11.2
2003,,22.7
2003,Male,31.2
2003,Female,14.1
2004,,23.9
2004,Male,32.6
2004,Female,15.0
2005,,24.8
2005,Male,33.1
2005,Female,16.6
2006,,22.0
2006,Male,29.7
2006,Female,14.2
2007,,24.9
2007,Male,31.6
2007,Female,18.2
2008,,26.0
2008,Male,33.4
2008,Female,18.7
2009,,31.0
2009,Male,39.9
2009,Female,22.1
2010,,31.2
2010,Male,41.4
2010,Female,21.0
2011,,31.7
2011,Male,43.3
2011,Female,20.1
2012,,28.1
2012,Male,38.2
2012,Female,18.0
2013,,28.5
2013,Male,39.8
2013,Female,17.3
2014,,27.3
2014,Male,38.4
2014,Female,16.1
2015,,26.5
2015,Male,37.5
2015,Female,15.5
2016,,25.6
2016,Male,36.2
2016,Female,15.0
2017,,24.3
2017,Male,34.9
2017,Female,13.8
2018,,26.6
2018,Male,38.5
2018,Female,14.8
2019,,26.9
2019,Male,38.0
2019,Female,15.8
