Year,data.category,Value
2000,data.Freshwater,29.7046
2001,data.Freshwater,29.7046
2002,data.Freshwater,29.7046
2003,data.Freshwater,29.7046
2004,data.Freshwater,29.71949
2005,data.Freshwater,29.71949
2006,data.Freshwater,29.72495
2007,data.Freshwater,29.72495
2008,data.Freshwater,36.77976
2009,data.Freshwater,36.77976
2010,data.Freshwater,36.77976
2011,data.Freshwater,36.77976
2012,data.Freshwater,36.77976
2013,data.Freshwater,36.78704
2014,data.Freshwater,36.78704
2015,data.Freshwater,36.78704
2016,data.Freshwater,36.78704
2017,data.Freshwater,36.78704
2018,data.Freshwater,36.7956
2019,data.Freshwater,36.82723
2020,data.Freshwater,36.82723
2000,data.Land,23.85359
2001,data.Land,23.85359
2002,data.Land,23.85488
2003,data.Land,23.92241
2004,data.Land,23.92762
2005,data.Land,23.92766
2006,data.Land,27.0358
2007,data.Land,27.03648
2008,data.Land,33.37413
2009,data.Land,33.78307
2010,data.Land,33.78307
2011,data.Land,33.88784
2012,data.Land,33.88784
2013,data.Land,36.3967
2014,data.Land,36.3967
2015,data.Land,36.39768
2016,data.Land,36.39768
2017,data.Land,36.52204
2018,data.Land,37.47782
2019,data.Land,37.5703
2020,data.Land,37.5703
